Titulo,Link
Barcelona v Atlético Madrid: La Liga – live!,https://www.theguardian.com/football/live/2019/apr/06/barcelona-v-atletico-madrid-la-liga-live
Kent in control at Taunton with help from Mitchell Claydon,https://www.theguardian.com/sport/2019/apr/06/kent-mitchell-claydon-taunton
‘Brexit makes picking the Grand National winner look easy’,https://www.theguardian.com/politics/2019/apr/06/brexit-makes-picking-grand-national-winner-look-easy
Bayern Munich 5-0 Borussia Dortmund: Bundesliga – as it happened,https://www.theguardian.com/football/live/2019/apr/06/bayern-munich-v-borussia-dortmund-bundesliga-live
Gabriel Jesus fires Manchester City past Brighton and into FA Cup final,https://www.theguardian.com/football/2019/apr/06/manchester-city-brighton-fa-cup-semi-final-match-report
Tiger Roll makes repeat win look easy to join Grand National greats,https://www.theguardian.com/sport/2019/apr/06/tiger-roll-repeat-win-easy-join-grand-national-greats-horse-racing
Tom Youngs dismissal sums up Leicester Tigers’ torment in Exeter rout,https://www.theguardian.com/sport/2019/apr/06/tom-youngs-dismissal-sums-up-leicester-tigers-torment-in-exeter-rout
Javid defends removal of words 'European Union' from passports,https://www.theguardian.com/politics/2019/apr/05/uk-removes-words-european-union-from-british-passports
Polish general who fought with Washington may have been a woman,https://www.theguardian.com/us-news/2019/apr/06/casimir-pulaski-polish-general-woman-intersex
"County cricket: Notts v Yorkshire, Somerset v Kent and more – as it happened",https://www.theguardian.com/sport/live/2019/apr/06/county-cricket-notts-v-yorkshire-somerset-v-kent-and-more-live
